frame,orbit_type,horizon_days,baseline_horizon_days,q_11,q_12,q_13,q_21,q_22,q_23,q_31,q_32,q_33
teme,GEO,1.0,1.0,1e-10,0.0,0.0,0.0,1e-10,0.0,0.0,0.0,1e-10
teme,GEO,3.0,1.0,261.1648945762542,-20.870277914228346,-11.396384128219205,-20.870277914228343,165.536588940936,20.88490213027309,-11.396384128219202,20.884902130273094,42.54263913021576
teme,GEO,7.0,1.0,2413.284513564167,-182.3685727784042,-136.35632313378798,-182.36857277840414,1296.8597272749662,145.35299619888443,-136.35632313378798,145.35299619888443,163.79820995648322
teme,LEO,1.0,1.0,1e-10,0.0,0.0,0.0,1e-10,0.0,0.0,0.0,1e-10
teme,LEO,3.0,1.0,84.09571895132214,-26.987487405455514,133.20684667671688,-26.987487405455518,60.66664355066533,-74.02142185251606,133.2068466767169,-74.02142185251607,555.9086005226617
teme,LEO,7.0,1.0,2051.792159228126,694.1656111939897,-1676.1702859519219,694.1656111939897,1651.0925300887698,-565.0067672374176,-1676.1702859519214,-565.0067672374176,5113.6920853790325
teme,MEO,1.0,1.0,1e-10,0.0,0.0,0.0,1e-10,0.0,0.0,0.0,1e-10
teme,MEO,3.0,1.0,9.082778590568159,4.452622699074424,-15.066265328742348,4.452622699074424,10.894359757239519,4.023071454838209,-15.066265328742345,4.023071454838209,41.500149551324085
teme,MEO,7.0,1.0,62.00049933977008,31.907929970805053,-123.17206458559922,31.907929970805053,110.80364390193087,3.6306432643109283,-123.17206458559923,3.630643264310926,308.6263851943336
